Monthly Visit Date,# of HH Visits,0 to 2,3 to 18,19 to 54,55+,Age: Not Provided,Total Individuals,Total weight
2023-08,18,0,4,6,17,0,27,27
2023-09,14,2,10,12,11,2,37,37
2023-10,199,23,191,297,123,0,634,634
2023-11,430,55,532,722,260,18,1587,1587
2023-12,449,53,571,725,276,25,1650,1650
2024-01,174,14,235,292,98,1,640,640
2024-02,340,42,452,558,206,18,1276,1276
2024-03,433,64,626,750,249,12,1701,1701
2024-04,442,65,624,776,267,5,1737,1737
2024-05,399,64,504,691,238,7,1504,1504
2024-06,434,73,570,740,271,17,1671,1671
2024-07,415,70,553,720,261,10,1614,1614
2024-08,482,72,615,789,318,27,1821,1821
2024-09,456,83,590,792,278,15,1758,1758
2024-10,479,89,644,814,274,47,1868,1868
2024-11,578,104,780,952,367,43,2246,2246
2024-12,468,75,692,786,278,15,1846,1846
2025-01,177,30,232,283,128,4,677,677
2025-02,470,85,670,784,318,18,1875,1875
2025-03,496,99,704,849,339,20,2011,2011
2025-04,484,98,699,843,318,19,1977,1977
2025-05,494,105,715,836,332,8,1996,1996
2025-06,473,79,603,776,340,18,1816,1816
2025-07,437,81,572,704,307,33,1697,15954
2025-08,470,89,597,756,337,21,1800,27260
2025-09,495,87,631,814,346,17,1895,26560
2025-10,549,119,730,918,359,13,2139,31842
2025-11,692,128,876,1115,438,16,2573,40136
2025-12,619,102,774,1008,400,19,2303,35844
2026-01,221,30,249,332,152,9,772,12818
2026-02,500,79,633,804,347,20,1883,29000
2026-03,548,82,690,864,371,7,2014,31784
